Player,Player Link,Position,Age,2024-25,2025-26,2026-27,2027-28,2028-29,Player Key,Team,Team Link
Noah Clowney,https://www.spotrac.com/nba/player/_/id/82214,PF,20,$3244080,$3398640,$5414034,UFA,,noah-clowney,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
Norman Powell,https://www.spotrac.com/nba/player/_/id/17874,SG,31,$19241379,$20482758,UFA,,,norman-powell,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
Obi Toppin,https://www.spotrac.com/nba/player/_/id/70650,PF,26,$13535000,$14520000,$15480000,$16465000,UFA,obi-toppin,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Ochai Agbaji,https://www.spotrac.com/nba/player/_/id/78124,SF,24,$4310280,$6383525,RFA,,,ochai-agbaji,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
OG Anunoby,https://www.spotrac.com/nba/player/_/id/23618,SF,27,$36637932,$39568966,$42500000,$45431034,$48362068,og-anunoby,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly
Olivier-Maxence Prosper,https://www.spotrac.com/nba/player/_/id/84439,PF,22,$2870400,$3007080,$5259383,RFA,,olivier-maxence-prosper,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
Onyeka Okongwu,https://www.spotrac.com/nba/player/_/id/70648,C,24,$14000000,$15000000,$16100000,$16880000,UFA,onyeka-okongwu,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
Orlando Robinson,https://www.spotrac.com/nba/player/_/id/78309,C,24,$2087519,RFA,,,,orlando-robinson,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Oscar Tshiebwe,https://www.spotrac.com/nba/player/_/id/84732,PF,25,Two-Way,RFA,,,,oscar-tshiebwe,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
Oso Ighodaro,https://www.spotrac.com/nba/player/_/id/93953,C,22,$1157153,$1955377,$2296271,$2486995,UFA,oso-ighodaro,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly
Ousmane Dieng,https://www.spotrac.com/nba/player/_/id/78118,SF,21,$5027040,$6670882,RFA,,,ousmane-dieng,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Pacome Dadiet,https://www.spotrac.com/nba/player/_/id/91782,SG,19,$1808080,$2847600,$2983680,$5373608,RFA,pacome-dadiet,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly
Paolo Banchero,https://www.spotrac.com/nba/player/_/id/78110,PF,22,$12160800,$15334769,RFA,,,paolo-banchero,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Pascal Siakam,https://www.spotrac.com/nba/player/_/id/20232,PF,30,$42176400,$45550512,$48924624,$52298736,UFA,pascal-siakam,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Pat Connaughton,https://www.spotrac.com/nba/player/_/id/17869,SG,32,$9423869,$9423869,UFA,,,pat-connaughton,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
Pat Spencer,https://www.spotrac.com/nba/player/_/id/79256,G,28,Two-Way,RFA,,,,pat-spencer,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Patrick Baldwin Jr.,https://www.spotrac.com/nba/player/_/id/78139,SF,22,$2448840,UFA,,,,patrick-baldwin,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Patrick Williams,https://www.spotrac.com/nba/player/_/id/70646,PF,23,$18000000,$18000000,$18000000,$18000000,$18000000,patrick-williams,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly
Patty Mills,https://www.spotrac.com/nba/player/_/id/6322,PG,36,$2087519,UFA,,,,patty-mills,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
Paul George,https://www.spotrac.com/nba/player/_/id/6892,SG,34,$49205800,$51666090,$54126380,$56586670,UFA,paul-george,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Paul Reed,https://www.spotrac.com/nba/player/_/id/70700,C,25,$7723000,$8109150,UFA,,,paul-reed,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
Payton Pritchard,https://www.spotrac.com/nba/player/_/id/70668,PG,27,$6696429,$7232143,$7767857,$8303571,UFA,payton-pritchard,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Pelle Larsson,https://www.spotrac.com/nba/player/_/id/91787,SG,23,$1157153,$1955378,$2296271,RFA,,pelle-larsson,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Pete Nance,https://www.spotrac.com/nba/player/_/id/86006,PF,24,Two-Way,RFA,,,,pete-nance,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Peyton Watson,https://www.spotrac.com/nba/player/_/id/78138,SG,22,$2413560,$4356476,RFA,,,peyton-watson,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
P.J. Dozier,https://www.spotrac.com/nba/player/_/id/23668,PG,28,$2087519,UFA,,,,pj-dozier,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
P.J. Hall,https://www.spotrac.com/nba/player/_/id/94515,PF,22,Two-Way,RFA,,,,pj-hall,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
P.J. Tucker,https://www.spotrac.com/nba/player/_/id/11059,PF,39,$11539000,UFA,,,,pj-tucker,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
PJ Washington,https://www.spotrac.com/nba/player/_/id/31569,PF,26,$15500000,$14152174,UFA,,,pj-washington,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
Precious Achiuwa,https://www.spotrac.com/nba/player/_/id/70662,PF,25,$6000000,UFA,,,,precious-achiuwa,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly
Quentin Grimes,https://www.spotrac.com/nba/player/_/id/74132,SG,24,$4296682,RFA,,,,quentin-grimes,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
Quenton Jackson,https://www.spotrac.com/nba/player/_/id/79955,G,26,Two-Way,RFA,,,,quenton-jackson,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Quincy Olivari,https://www.spotrac.com/nba/player/_/id/95655,G,23,Two-Way,RFA,,,,quincy-olivari,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly
Quinten Post,https://www.spotrac.com/nba/player/_/id/93959,C,24,Two-Way,RFA,,,,quinten-post,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Rayan Rupert,https://www.spotrac.com/nba/player/_/id/82212,SG,20,$1891857,$2221677,RFA,,,rayan-rupert,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Reece Beekman,https://www.spotrac.com/nba/player/_/id/94484,PG,23,Two-Way,RFA,,,,reece-beekman,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Reed Sheppard,https://www.spotrac.com/nba/player/_/id/91739,SG,20,$10098960,$10603560,$11108880,$14041625,RFA,reed-sheppard,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Reggie Jackson,https://www.spotrac.com/nba/player/_/id/8075,PG,34,$2087519,UFA,,,,reggie-jackson,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Richaun Holmes,https://www.spotrac.com/nba/player/_/id/17865,C,31,$12648321,$13280737,UFA,,,richaun-holmes,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Ricky Council IV,https://www.spotrac.com/nba/player/_/id/84718,G,23,$1891857,$2221677,$2406205,UFA,,ricky-council,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Riley Minix,https://www.spotrac.com/nba/player/_/id/95269,SF,24,Two-Way,RFA,,,,riley-minix,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
R.J. Barrett,https://www.spotrac.com/nba/player/_/id/31560,SG,24,$25794643,$27705357,$29616071,UFA,,rj-barrett,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
Rob Dillingham,https://www.spotrac.com/nba/player/_/id/91736,PG,20,$6262920,$6576120,$6889320,$8763216,RFA,rob-dillingham,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Robert Williams III,https://www.spotrac.com/nba/player/_/id/26993,C,27,$12428571,$13285713,UFA,,,robert-williams,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Ron Holland II,https://www.spotrac.com/nba/player/_/id/91751,SF,19,$8245320,$8657280,$9069600,$11491183,RFA,ron-holland,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
Royce O'Neale,https://www.spotrac.com/nba/player/_/id/24240,SF,31,$9875000,$10625000,$11375000,$12125000,UFA,royce-oneale,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly
Rudy Gobert,https://www.spotrac.com/nba/player/_/id/13340,C,32,$43827587,$35000000,$36500000,$38000000,UFA,rudy-gobert,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Rui Hachimura,https://www.spotrac.com/nba/player/_/id/31566,PF,26,$17000000,$18259259,UFA,,,rui-hachimura,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly
Russell Westbrook,https://www.spotrac.com/nba/player/_/id/6141,PG,36,$3303771,$3468960,UFA,,,russell-westbrook,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
Ryan Dunn,https://www.spotrac.com/nba/player/_/id/91771,SF,22,$2530800,$2657760,$2784240,$5025553,RFA,ryan-dunn,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly
Ryan Rollins,https://www.spotrac.com/nba/player/_/id/78155,SG,22,Two-Way,RFA,,,,ryan-rollins,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
Saddiq Bey,https://www.spotrac.com/nba/player/_/id/70661,SF,25,$6440678,$6118644,$6440678,UFA,,saddiq-bey,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Sam Hauser,https://www.spotrac.com/nba/player/_/id/74311,SF,27,$2092344,$10044644,$10848215,$11651785,$12455356,sam-hauser,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Sam Merrill,https://www.spotrac.com/nba/player/_/id/70702,SG,28,$2164993,UFA,,,,sam-merrill,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
Sandro Mamukelashvili,https://www.spotrac.com/nba/player/_/id/74161,C,25,$2087519,UFA,,,,sandro-mamukelashvili,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Santi Aldama,https://www.spotrac.com/nba/player/_/id/74137,C,24,$3960531,RFA,,,,santi-aldama,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Scoot Henderson,https://www.spotrac.com/nba/player/_/id/82198,PG,20,$10259160,$10748040,$13585523,RFA,,scoot-henderson,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Scottie Barnes,https://www.spotrac.com/nba/player/_/id/74111,PF,23,$10130980,$38661700,$41754636,$44847572,$47940508,scottie-barnes,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
Scotty Pippen Jr.,https://www.spotrac.com/nba/player/_/id/78256,PG,24,$2087519,$2270735,$2461462,$2789215,UFA,scotty-pippen,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Seth Curry,https://www.spotrac.com/nba/player/_/id/13512,SG,34,$2087519,UFA,UFA,,,seth-curry,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly
Seth Lundy,https://www.spotrac.com/nba/player/_/id/84472,SG,24,Two-Way,RFA,,,,seth-lundy,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
Shaedon Sharpe,https://www.spotrac.com/nba/player/_/id/78113,SG,21,$6614160,$8399983,RFA,,,shaedon-sharpe,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Shai Gilgeous-Alexander,https://www.spotrac.com/nba/player/_/id/26977,PG,26,$35859950,$38333050,$40806150,UFA,,shai-gilgeous-alexander,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Shake Milton,https://www.spotrac.com/nba/player/_/id/27020,SG,28,$2875000,$3000000,$3287406,UFA,,shake-milton,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
Sidy Cissoko,https://www.spotrac.com/nba/player/_/id/84471,SG,20,$1891857,$2221677,RFA,,,sidy-cissoko,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Simone Fontecchio,https://www.spotrac.com/nba/player/_/id/78654,SF,29,$7692308,$8307692,UFA,,,simone-fontecchio,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
Spencer Dinwiddie,https://www.spotrac.com/nba/player/_/id/15390,PG,31,$2087519,UFA,,,,spencer-dinwiddie,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
Spencer Jones,https://www.spotrac.com/nba/player/_/id/95438,SF,23,Two-Way,RFA,,,,spencer-jones,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
Stanley Umude,https://www.spotrac.com/nba/player/_/id/79976,G,25,Two-Way,RFA,,,,stanley-umude,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
Stephen Curry,https://www.spotrac.com/nba/player/_/id/6287,PG,36,$55761216,$59606817,$62587158,UFA,,stephen-curry,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Stephon Castle,https://www.spotrac.com/nba/player/_/id/91750,PG,20,$9105120,$9560520,$10015920,$12670139,RFA,stephon-castle,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Steven Adams,https://www.spotrac.com/nba/player/_/id/13325,C,31,$12600000,UFA,,,,steven-adams,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Sviatoslav Mykhailiuk,https://www.spotrac.com/nba/player/_/id/27013,SG,27,$3500000,$3675000,$3850000,$4025000,UFA,sviatoslav-mykhailiuk,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
Taj Gibson,https://www.spotrac.com/nba/player/_/id/6278,C,39,$3303771,UFA,,,,taj-gibson,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly
Talen Horton-Tucker,https://www.spotrac.com/nba/player/_/id/31605,SG,24,$2087519,UFA,,,,talen-horton-tucker,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly
Tari Eason,https://www.spotrac.com/nba/player/_/id/78123,PF,23,$3695160,$5675766,RFA,,,tari-eason,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Taurean Prince,https://www.spotrac.com/nba/player/_/id/20217,PF,30,$2087519,UFA,,,,taurean-prince,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
Taylor Hendricks,https://www.spotrac.com/nba/player/_/id/82205,PF,21,$5848680,$6127080,$7805900,UFA,,taylor-hendricks,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
Taze Moore,https://www.spotrac.com/nba/player/_/id/86067,SF,26,Two-Way,RFA,,,,taze-moore,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Terance Mann,https://www.spotrac.com/nba/player/_/id/31607,SG,28,$11423077,$15500000,$15500000,$16000000,UFA,terance-mann,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
Terrence Shannon Jr.,https://www.spotrac.com/nba/player/_/id/91774,SG,24,$2546640,$2674080,$2801640,$5054159,RFA,terrence-shannon,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Terry Rozier,https://www.spotrac.com/nba/player/_/id/17844,PG,30,$24924126,$26643031,UFA,,,terry-rozier,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Thomas Bryant,https://www.spotrac.com/nba/player/_/id/23643,C,27,$2087519,UFA,,,,thomas-bryant,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Tidjane Salaun,https://www.spotrac.com/nba/player/_/id/91756,PF,19,$7488720,$7863240,$8237880,$10445633,RFA,tidjane-salaun,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly
Tim Hardaway Jr.,https://www.spotrac.com/nba/player/_/id/13337,SG,32,$16193183,UFA,,,,tim-hardaway,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
T.J. McConnell,https://www.spotrac.com/nba/player/_/id/18252,PG,32,$9300000,$10200000,$11000000,$11800000,$11800000,tj-mcconnell,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Tobias Harris,https://www.spotrac.com/nba/player/_/id/8070,PF,32,$25365854,$26634146,UFA,,,tobias-harris,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
Torrey Craig,https://www.spotrac.com/nba/player/_/id/24230,SF,34,$2845342,UFA,,,,torrey-craig,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly
Toumani Camara,https://www.spotrac.com/nba/player/_/id/84478,PF,24,$1891857,$2221677,$2406205,UFA,,toumani-camara,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Trae Young,https://www.spotrac.com/nba/player/_/id/26971,PG,26,$43031940,$45999660,$48967380,UFA,,trae-young,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
Trayce Jackson-Davis,https://www.spotrac.com/nba/player/_/id/84443,PF,24,$1891857,$2221677,$2406205,UFA,,trayce-jackson-davis,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Tre Jones,https://www.spotrac.com/nba/player/_/id/70683,PG,25,$9104167,UFA,,,,tre-jones,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Tre Mann,https://www.spotrac.com/nba/player/_/id/74125,PG,23,$4908373,RFA,,,,tre-mann,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly
Trendon Watford,https://www.spotrac.com/nba/player/_/id/74232,PF,24,$2726603,UFA,,,,trendon-watford,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
Trentyn Flowers,https://www.spotrac.com/nba/player/_/id/95276,F,19,Two-Way,RFA,,,,trentyn-flowers,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
Trevelin Queen,https://www.spotrac.com/nba/player/_/id/70720,SG,27,Two-Way,RFA,,,,trevelin-queen,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Trey Alexander,https://www.spotrac.com/nba/player/_/id/94483,SG,21,Two-Way,RFA,,,,trey-alexander,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
Trey Jemison,https://www.spotrac.com/nba/player/_/id/86044,PF,25,Two-Way,RFA,,,,trey-jemison,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Trey Lyles,https://www.spotrac.com/nba/player/_/id/17840,PF,29,$8000000,UFA,,,,trey-lyles,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Trey Murphy III,https://www.spotrac.com/nba/player/_/id/74124,SF,24,$5159855,$25000000,$27000000,$29000000,$31000000,trey-murphy,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Tristan Da Silva,https://www.spotrac.com/nba/player/_/id/91759,SF,23,$3628440,$3809520,$3991200,$6138466,RFA,tristan-da-silva,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Tristan Thompson,https://www.spotrac.com/nba/player/_/id/8054,C,33,$2087519,UFA,,,,tristan-thompson,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
Tristan Vukcevic,https://www.spotrac.com/nba/player/_/id/84470,C,21,Two-Way,RFA,,,,tristan-vukcevic,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Tristen Newton,https://www.spotrac.com/nba/player/_/id/93957,PG,23,Two-Way,RFA,,,,tristen-newton,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Ty Jerome,https://www.spotrac.com/nba/player/_/id/31582,SG,27,$2560975,UFA,,,,ty-jerome,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
Tyler Herro,https://www.spotrac.com/nba/player/_/id/31570,SG,25,$29000000,$31000000,$33000000,UFA,,tyler-herro,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Tyler Kolek,https://www.spotrac.com/nba/player/_/id/91769,PG,23,$2087519,$2191897,$2296271,$2486995,RFA,tyler-kolek,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly
Tyler Smith,https://www.spotrac.com/nba/player/_/id/91762,SF,20,$1157153,$1955377,$2296271,$2486995,UFA,tyler-smith,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
Tyrese Haliburton,https://www.spotrac.com/nba/player/_/id/70654,PG,24,$42176400,$45550512,$48924624,$52298736,$55672848,tyrese-haliburton,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Tyrese Martin,https://www.spotrac.com/nba/player/_/id/78162,SF,25,Two-Way,RFA,,,,tyrese-martin,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
Tyrese Maxey,https://www.spotrac.com/nba/player/_/id/70663,PG,24,$35147000,$37958760,$40770520,$43582280,$46394040,tyrese-maxey,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
TyTy Washington Jr.,https://www.spotrac.com/nba/player/_/id/78125,PG,23,Two-Way,RFA,,,,tyty-washington,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly
Tyus Jones,https://www.spotrac.com/nba/player/_/id/17852,PG,28,$2087519,UFA,,,,tyus-jones,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly
Ulrich Chomche,https://www.spotrac.com/nba/player/_/id/91781,PF,19,Two-Way,Two-Way,RFA,,,ulrich-chomche,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
Vasilije Micic,https://www.spotrac.com/nba/player/_/id/15404,PG,31,$7723000,$8109150,UFA,,,vasilije-micic,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly
Victor Wembanyama,https://www.spotrac.com/nba/player/_/id/82196,C,21,$12768960,$13376880,$16868246,RFA,,victor-wembanyama,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Vincent Williams Jr.,https://www.spotrac.com/nba/player/_/id/78158,SF,24,$2120693,$2301587,$2489752,UFA,,vincent-williams,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Vit Krejci,https://www.spotrac.com/nba/player/_/id/70679,PG,24,$2162606,$2349578,$2667944,$3005085,UFA,vit-krejci,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
Vlatko Cancar,https://www.spotrac.com/nba/player/_/id/23650,PF,27,$2087519,UFA,,,,vlatko-cancar,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
Walker Kessler,https://www.spotrac.com/nba/player/_/id/78133,C,23,$2965920,$4878938,RFA,,,walker-kessler,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
Wendell Carter Jr.,https://www.spotrac.com/nba/player/_/id/26973,C,25,$11950000,$10850000,$18102000,$19550160,$20998320,wendell-carter,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Wendell Moore Jr.,https://www.spotrac.com/nba/player/_/id/78145,SG,23,$2537040,UFA,,,,wendell-moore,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
Xavier Tillman,https://www.spotrac.com/nba/player/_/id/70677,C,26,$2237691,$2546675,UFA,,,xavier-tillman,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Yongxi Cui,https://www.spotrac.com/nba/player/_/id/95593,G,21,Two-Way,Two-Way,RFA,,,yongxi-cui,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
Yuki Kawamura,https://www.spotrac.com/nba/player/_/id/95565,G,23,Two-Way,RFA,,,,yuki-kawamura,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Yves Missi,https://www.spotrac.com/nba/player/_/id/91761,C,20,$3193200,$3353040,$3512760,$5595827,RFA,yves-missi,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Zaccharie Risacher,https://www.spotrac.com/nba/player/_/id/91733,SF,19,$12569040,$13197720,$13826040,$17434637,RFA,zaccharie-risacher,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
Zach Collins,https://www.spotrac.com/nba/player/_/id/23605,C,27,$16741200,$18080496,UFA,,,zach-collins,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Zach Edey,https://www.spotrac.com/nba/player/_/id/91755,C,22,$5756880,$6045000,$6332760,$8067937,RFA,zach-edey,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Zach LaVine,https://www.spotrac.com/nba/player/_/id/15365,SG,29,$43031940,$45999660,$48967380,UFA,,zach-lavine,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly
Zeke Nnaji,https://www.spotrac.com/nba/player/_/id/70664,PF,24,$8888889,$8177778,$7466667,$7466667,UFA,zeke-nnaji,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
Ziaire Williams,https://www.spotrac.com/nba/player/_/id/74117,SF,23,$6133005,RFA,,,,ziaire-williams,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
Zion Williamson,https://www.spotrac.com/nba/player/_/id/31558,PF,24,$36725670,$39446090,$42166510,$44886930,UFA,zion-williamson,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
